Station Code,Latitude,Longitude
TRT,13.1758491,79.6109049
RNR,14.6113428,75.6382657
NDLS,28.6139391,77.2090212
BOE,25.6511814,87.9236743
GYM,12.9447361,78.8709019
MDR,16.9235584,80.3686488
MDU,9.9252007,78.1197754
MO,17.8100457,75.6431506
BGVN,18.2989478,74.7542571
BOR,19.7968929,72.7451817
NDKD,16.5908928,79.7245386
BOY,25.38727,82.5680309
ROK,28.890759,76.580089
BNCE,13.0014657,77.6181825
MAHE,11.7027158,75.5364042
BPA,19.0715572,79.4911758
MEJ,8.8826659,77.8908536
NGP,21.1523084,79.0882211
ND,22.6949041,72.8558815
NGO,27.1983368,73.7493272
ROU,22.260423,84.8535844
NG,13.3200519,79.585628
ANG,19.0952075,74.7495916
PKU,22.3955818,87.7418842
MET,30.5232076,75.8882508
BPL,23.2599333,77.412615
NN,20.8307334,76.4505243
MEX,31.9562897,75.6168408
BPQ,19.8390022,79.3634517
BPP,15.9039445,80.4671375
SRC,22.5839176,88.2826103
NW,16.9535569,76.9988669
ANV,17.2792947,82.3967108
RPH,24.1813784,87.7812524
VAPI,20.3893155,72.9106202
JMKT,18.2890746,79.4738821
LDH,30.9126909,75.8485121
DUD,17.3585392,76.3680696
SRR,10.7592773,76.2714453
PLO,20.7262349,78.3175782
TTR,13.2637814,76.4702946
BQA,23.2312686,87.0783875
SRT,9.3644204,77.9110321
SNSI,19.7806599,74.4805113
DUI,30.372987,75.8662474
BQI,11.9835713,78.2463469
VYA,21.1125619,73.3885526
SSB,28.6817707,77.1285101
OKA,28.56028,77.2913315
TUN,29.7163129,75.9056753
TUP,11.1085242,77.3410656
KCG,17.3896726,78.4960144
BRC,22.310805,73.1808827
PB,19.7666681,74.6195474
DVD,17.7000596,83.1535986
CTC,20.462521,85.8829895
DVG,14.4644085,75.921758
API,10.3998859,77.9226258
JAT,32.7059,74.8799
TVC,8.51252,76.947087
STA,24.6005075,80.8322428
DVR,20.593684,78.96288
RRB,13.5933056,75.9729394
VZM,18.1066576,83.3955506
CSMT,18.9399053,72.8355253
SVDK,33.0308295,74.9490416
NRKR,21.4691505,78.5291706
TVP,8.5226657,76.9590399
BSB,25.3267898,82.9862521
PNQ,10.5364028,76.1986595
TVT,13.1691914,80.3045793
KDM,17.6978419,79.8912813
NJP,26.6842232,88.442823
KDP,14.7757134,78.1949157
BALU,19.7450699,85.207642
JBP,23.181467,79.9864071
MNGD,19.6211504,83.4987493
BSL,21.0481732,75.7886058
KTYM,9.5915668,76.5221531
BSP,22.0796251,82.1391412
DWR,15.4589236,75.007808
BSR,19.3824244,72.8318444
BSX,18.8801751,77.9538767
TPTY,13.6287557,79.4191795
BAND,13.0119571,77.6471307
PON,13.3378301,80.1929013
RC,16.2120031,77.3439283
SUR,17.6599188,75.9063906
KEM,19.0015994,72.8421084
MALM,15.9413776,77.4257319
POY,10.6572737,77.0106693
